"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,15,2,19,2021-03-17
"20 - 24",3,0,31,0,34,2021-03-17
"25 - 29",1,0,60,3,64,2021-03-17
"30 - 34",6,7,96,3,112,2021-03-17
"35 - 39",6,12,108,11,137,2021-03-17
"40 - 44",5,9,168,17,199,2021-03-17
"45 - 49",18,22,364,44,448,2021-03-17
"50 - 54",40,41,598,95,774,2021-03-17
"55 - 59",68,76,845,168,1157,2021-03-17
"60 - 64",79,114,981,321,1495,2021-03-17
"65 - 69",69,116,923,489,1597,2021-03-17
"70 - 74",61,108,869,723,1761,2021-03-17
"75 - 79",36,54,472,525,1087,2021-03-17
"80 - 84",11,6,108,194,319,2021-03-17
"85 - 89",1,0,15,32,48,2021-03-17
">90",0,0,3,2,5,2021-03-17
