"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,14,2,18,2021-02-20
"20 - 24",3,0,28,0,31,2021-02-20
"25 - 29",1,3,51,3,58,2021-02-20
"30 - 34",2,2,89,3,96,2021-02-20
"35 - 39",1,6,92,11,110,2021-02-20
"40 - 44",7,5,141,16,169,2021-02-20
"45 - 49",21,22,325,40,408,2021-02-20
"50 - 54",33,34,530,88,685,2021-02-20
"55 - 59",54,72,738,154,1018,2021-02-20
"60 - 64",58,107,874,291,1330,2021-02-20
"65 - 69",61,103,823,451,1438,2021-02-20
"70 - 74",61,101,783,672,1617,2021-02-20
"75 - 79",28,48,418,484,978,2021-02-20
"80 - 84",8,9,100,180,297,2021-02-20
"85 - 89",1,0,15,31,47,2021-02-20
">90",0,0,3,2,5,2021-02-20
