"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,8,1,10,2020-10-23
"20 - 24",3,3,11,0,17,2020-10-23
"25 - 29",1,1,23,2,27,2020-10-23
"30 - 34",3,3,44,2,52,2020-10-23
"35 - 39",4,6,44,7,61,2020-10-23
"40 - 44",6,11,70,8,95,2020-10-23
"45 - 49",15,18,171,20,224,2020-10-23
"50 - 54",14,37,262,29,342,2020-10-23
"55 - 59",23,40,340,81,484,2020-10-23
"60 - 64",25,85,385,120,615,2020-10-23
"65 - 69",38,91,365,206,700,2020-10-23
"70 - 74",24,108,355,272,759,2020-10-23
"75 - 79",26,68,179,207,480,2020-10-23
"80 - 84",15,18,31,65,129,2020-10-23
"85 - 89",0,1,5,18,24,2020-10-23
">90",0,0,0,0,0,2020-10-23
