"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,7,1,8,2020-09-08
"20 - 24",1,1,10,0,12,2020-09-08
"25 - 29",0,0,18,2,20,2020-09-08
"30 - 34",1,0,34,2,37,2020-09-08
"35 - 39",3,1,36,6,46,2020-09-08
"40 - 44",1,4,55,5,65,2020-09-08
"45 - 49",4,1,146,18,169,2020-09-08
"50 - 54",9,9,229,23,270,2020-09-08
"55 - 59",5,3,305,74,387,2020-09-08
"60 - 64",10,6,348,106,470,2020-09-08
"65 - 69",9,6,322,191,528,2020-09-08
"70 - 74",8,7,323,234,572,2020-09-08
"75 - 79",8,5,150,166,329,2020-09-08
"80 - 84",5,1,21,49,76,2020-09-08
"85 - 89",0,1,4,11,16,2020-09-08
">90",0,0,0,0,0,2020-09-08
