"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,9,1,12,2020-12-18
"20 - 24",2,0,20,0,22,2020-12-18
"25 - 29",6,3,30,2,41,2020-12-18
"30 - 34",2,5,68,3,78,2020-12-18
"35 - 39",7,3,63,9,82,2020-12-18
"40 - 44",8,6,101,11,126,2020-12-18
"45 - 49",15,12,238,31,296,2020-12-18
"50 - 54",29,36,374,52,491,2020-12-18
"55 - 59",48,69,491,110,718,2020-12-18
"60 - 64",48,96,576,198,918,2020-12-18
"65 - 69",43,122,534,319,1018,2020-12-18
"70 - 74",60,129,538,437,1164,2020-12-18
"75 - 79",28,67,273,355,723,2020-12-18
"80 - 84",16,15,63,138,232,2020-12-18
"85 - 89",2,1,7,25,35,2020-12-18
">90",1,0,1,2,4,2020-12-18
