"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,2,12,1,16,2021-01-26
"20 - 24",2,2,24,0,28,2021-01-26
"25 - 29",3,3,42,3,51,2021-01-26
"30 - 34",7,2,78,3,90,2021-01-26
"35 - 39",7,6,79,10,102,2021-01-26
"40 - 44",6,9,124,14,153,2021-01-26
"45 - 49",18,27,291,36,372,2021-01-26
"50 - 54",30,45,463,78,616,2021-01-26
"55 - 59",57,88,639,137,921,2021-01-26
"60 - 64",68,128,745,255,1196,2021-01-26
"65 - 69",68,146,694,403,1311,2021-01-26
"70 - 74",67,148,686,594,1495,2021-01-26
"75 - 79",43,52,364,452,911,2021-01-26
"80 - 84",8,12,91,164,275,2021-01-26
"85 - 89",2,1,13,30,46,2021-01-26
">90",0,0,2,2,4,2021-01-26
