"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,15,2,17,2021-02-22
"20 - 24",2,1,29,0,32,2021-02-22
"25 - 29",0,3,52,3,58,2021-02-22
"30 - 34",3,1,89,3,96,2021-02-22
"35 - 39",2,9,92,11,114,2021-02-22
"40 - 44",9,4,141,16,170,2021-02-22
"45 - 49",22,20,327,41,410,2021-02-22
"50 - 54",21,43,542,88,694,2021-02-22
"55 - 59",52,75,747,155,1029,2021-02-22
"60 - 64",55,109,885,291,1340,2021-02-22
"65 - 69",60,108,830,459,1457,2021-02-22
"70 - 74",51,105,797,677,1630,2021-02-22
"75 - 79",26,56,425,489,996,2021-02-22
"80 - 84",7,10,101,181,299,2021-02-22
"85 - 89",1,0,15,31,47,2021-02-22
">90",0,0,3,2,5,2021-02-22
