"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,18,3,21,2021-05-11
"20 - 24",3,1,37,0,41,2021-05-11
"25 - 29",1,4,79,5,89,2021-05-11
"30 - 34",9,10,140,4,163,2021-05-11
"35 - 39",20,8,156,13,197,2021-05-11
"40 - 44",17,18,245,22,302,2021-05-11
"45 - 49",41,35,472,53,601,2021-05-11
"50 - 54",46,67,822,126,1061,2021-05-11
"55 - 59",86,103,1120,216,1525,2021-05-11
"60 - 64",89,105,1267,416,1877,2021-05-11
"65 - 69",95,165,1244,638,2142,2021-05-11
"70 - 74",90,171,1108,901,2270,2021-05-11
"75 - 79",39,52,581,640,1312,2021-05-11
"80 - 84",6,1,130,221,358,2021-05-11
"85 - 89",1,0,16,35,52,2021-05-11
">90",0,0,4,2,6,2021-05-11
