"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,10,1,12,2020-11-14
"20 - 24",2,1,18,0,21,2020-11-14
"25 - 29",1,1,28,2,32,2020-11-14
"30 - 34",2,4,54,2,62,2020-11-14
"35 - 39",6,3,52,8,69,2020-11-14
"40 - 44",3,10,86,10,109,2020-11-14
"45 - 49",10,13,211,24,258,2020-11-14
"50 - 54",28,50,304,37,419,2020-11-14
"55 - 59",40,78,398,87,603,2020-11-14
"60 - 64",47,111,465,149,772,2020-11-14
"65 - 69",44,103,437,252,836,2020-11-14
"70 - 74",56,138,411,340,945,2020-11-14
"75 - 79",28,77,220,266,591,2020-11-14
"80 - 84",13,24,45,99,181,2020-11-14
"85 - 89",2,1,5,18,26,2020-11-14
">90",0,0,1,2,3,2020-11-14
