"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,0,13,2,16,2021-02-11
"20 - 24",3,1,26,0,30,2021-02-11
"25 - 29",5,3,46,3,57,2021-02-11
"30 - 34",5,2,85,3,95,2021-02-11
"35 - 39",3,0,90,11,104,2021-02-11
"40 - 44",7,8,131,16,162,2021-02-11
"45 - 49",17,25,314,38,394,2021-02-11
"50 - 54",31,46,501,83,661,2021-02-11
"55 - 59",48,76,710,146,980,2021-02-11
"60 - 64",58,96,840,280,1274,2021-02-11
"65 - 69",64,109,782,441,1396,2021-02-11
"70 - 74",69,100,744,655,1568,2021-02-11
"75 - 79",26,48,408,474,956,2021-02-11
"80 - 84",8,9,98,176,291,2021-02-11
"85 - 89",2,0,14,31,47,2021-02-11
">90",0,0,3,2,5,2021-02-11
