"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,5,9,1,15,2020-10-30
"20 - 24",5,2,13,0,20,2020-10-30
"25 - 29",2,0,23,2,27,2020-10-30
"30 - 34",6,1,45,2,54,2020-10-30
"35 - 39",5,3,48,8,64,2020-10-30
"40 - 44",6,11,76,8,101,2020-10-30
"45 - 49",12,25,182,22,241,2020-10-30
"50 - 54",20,42,275,31,368,2020-10-30
"55 - 59",27,70,357,83,537,2020-10-30
"60 - 64",35,97,405,125,662,2020-10-30
"65 - 69",35,108,390,218,751,2020-10-30
"70 - 74",37,128,366,288,819,2020-10-30
"75 - 79",31,61,195,229,516,2020-10-30
"80 - 84",15,28,34,73,150,2020-10-30
"85 - 89",1,0,5,18,24,2020-10-30
">90",0,1,0,0,1,2020-10-30
