"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,17,2,19,2021-04-01
"20 - 24",4,0,32,0,36,2021-04-01
"25 - 29",1,4,64,3,72,2021-04-01
"30 - 34",8,6,105,3,122,2021-04-01
"35 - 39",6,14,120,12,152,2021-04-01
"40 - 44",11,17,184,17,229,2021-04-01
"45 - 49",25,25,387,44,481,2021-04-01
"50 - 54",34,61,654,103,852,2021-04-01
"55 - 59",67,82,912,182,1243,2021-04-01
"60 - 64",72,109,1061,342,1584,2021-04-01
"65 - 69",72,141,993,514,1720,2021-04-01
"70 - 74",61,130,921,762,1874,2021-04-01
"75 - 79",35,77,500,548,1160,2021-04-01
"80 - 84",10,10,117,199,336,2021-04-01
"85 - 89",2,0,15,33,50,2021-04-01
">90",1,0,3,2,6,2021-04-01
