"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,10,1,11,2020-07-20
"20 - 24",3,1,7,0,11,2020-07-20
"25 - 29",1,1,14,2,18,2020-07-20
"30 - 34",0,1,32,3,36,2020-07-20
"35 - 39",1,1,34,6,42,2020-07-20
"40 - 44",2,1,52,5,60,2020-07-20
"45 - 49",7,0,135,19,161,2020-07-20
"50 - 54",13,4,214,23,254,2020-07-20
"55 - 59",16,3,283,76,378,2020-07-20
"60 - 64",20,4,323,100,447,2020-07-20
"65 - 69",11,7,310,183,511,2020-07-20
"70 - 74",16,6,302,230,554,2020-07-20
"75 - 79",13,5,138,164,320,2020-07-20
"80 - 84",2,0,19,44,65,2020-07-20
"85 - 89",1,0,4,10,15,2020-07-20
">90",0,0,0,0,0,2020-07-20
