"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,7,1,10,2020-10-07
"20 - 24",1,1,11,0,13,2020-10-07
"25 - 29",1,0,21,2,24,2020-10-07
"30 - 34",1,2,39,2,44,2020-10-07
"35 - 39",4,3,40,6,53,2020-10-07
"40 - 44",7,6,62,6,81,2020-10-07
"45 - 49",10,9,160,18,197,2020-10-07
"50 - 54",10,17,243,25,295,2020-10-07
"55 - 59",8,22,320,79,429,2020-10-07
"60 - 64",10,39,363,111,523,2020-10-07
"65 - 69",21,48,335,196,600,2020-10-07
"70 - 74",18,48,335,243,644,2020-10-07
"75 - 79",12,35,165,178,390,2020-10-07
"80 - 84",2,8,28,52,90,2020-10-07
"85 - 89",1,0,4,14,19,2020-10-07
">90",0,0,0,0,0,2020-10-07
