"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,10,1,12,2020-11-17
"20 - 24",3,1,18,0,22,2020-11-17
"25 - 29",2,0,28,2,32,2020-11-17
"30 - 34",2,5,55,2,64,2020-11-17
"35 - 39",6,2,53,9,70,2020-11-17
"40 - 44",7,8,87,10,112,2020-11-17
"45 - 49",9,14,214,24,261,2020-11-17
"50 - 54",31,46,311,39,427,2020-11-17
"55 - 59",46,79,404,88,617,2020-11-17
"60 - 64",56,107,471,152,786,2020-11-17
"65 - 69",46,100,445,258,849,2020-11-17
"70 - 74",63,134,417,351,965,2020-11-17
"75 - 79",27,73,224,282,606,2020-11-17
"80 - 84",15,16,48,107,186,2020-11-17
"85 - 89",3,1,5,18,27,2020-11-17
">90",0,0,1,2,3,2020-11-17
