"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,3,1,1,8,2020-04-26
"20 - 24",4,5,3,0,12,2020-04-26
"25 - 29",7,1,5,2,15,2020-04-26
"30 - 34",6,10,13,1,30,2020-04-26
"35 - 39",12,12,13,3,40,2020-04-26
"40 - 44",16,14,22,3,55,2020-04-26
"45 - 49",53,36,48,14,151,2020-04-26
"50 - 54",79,81,66,15,241,2020-04-26
"55 - 59",102,114,74,59,349,2020-04-26
"60 - 64",138,154,72,77,441,2020-04-26
"65 - 69",108,152,93,134,487,2020-04-26
"70 - 74",116,172,84,174,546,2020-04-26
"75 - 79",66,67,43,142,318,2020-04-26
"80 - 84",8,11,5,36,60,2020-04-26
"85 - 89",3,1,0,7,11,2020-04-26
">90",1,1,0,0,2,2020-04-26
