"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,10,1,11,2020-07-04
"20 - 24",3,1,7,0,11,2020-07-04
"25 - 29",1,1,14,2,18,2020-07-04
"30 - 34",0,0,32,3,35,2020-07-04
"35 - 39",1,1,34,6,42,2020-07-04
"40 - 44",0,3,51,5,59,2020-07-04
"45 - 49",9,1,132,20,162,2020-07-04
"50 - 54",16,4,211,24,255,2020-07-04
"55 - 59",23,5,273,76,377,2020-07-04
"60 - 64",22,4,322,100,448,2020-07-04
"65 - 69",21,9,298,183,511,2020-07-04
"70 - 74",25,6,293,229,553,2020-07-04
"75 - 79",14,6,134,164,318,2020-07-04
"80 - 84",2,1,19,43,65,2020-07-04
"85 - 89",1,0,4,9,14,2020-07-04
">90",0,0,0,0,0,2020-07-04
