"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,17,2,21,2021-04-19
"20 - 24",2,0,35,0,37,2021-04-19
"25 - 29",3,2,70,4,79,2021-04-19
"30 - 34",10,10,118,4,142,2021-04-19
"35 - 39",17,15,135,13,180,2021-04-19
"40 - 44",22,14,205,21,262,2021-04-19
"45 - 49",26,37,425,50,538,2021-04-19
"50 - 54",59,79,713,110,961,2021-04-19
"55 - 59",88,107,983,199,1377,2021-04-19
"60 - 64",89,123,1135,376,1723,2021-04-19
"65 - 69",99,183,1077,559,1918,2021-04-19
"70 - 74",90,154,983,815,2042,2021-04-19
"75 - 79",38,73,536,588,1235,2021-04-19
"80 - 84",10,6,123,212,351,2021-04-19
"85 - 89",3,0,15,33,51,2021-04-19
">90",0,0,4,2,6,2021-04-19
