"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,20,3,24,2021-07-10
"20 - 24",2,1,46,0,49,2021-07-10
"25 - 29",0,1,94,6,101,2021-07-10
"30 - 34",0,2,166,6,174,2021-07-10
"35 - 39",0,1,196,14,211,2021-07-10
"40 - 44",2,4,299,26,331,2021-07-10
"45 - 49",7,5,577,65,654,2021-07-10
"50 - 54",12,11,992,141,1156,2021-07-10
"55 - 59",17,12,1368,248,1645,2021-07-10
"60 - 64",7,15,1479,451,1952,2021-07-10
"65 - 69",11,16,1479,717,2223,2021-07-10
"70 - 74",16,14,1312,991,2333,2021-07-10
"75 - 79",8,2,652,684,1346,2021-07-10
"80 - 84",0,1,139,228,368,2021-07-10
"85 - 89",0,0,17,37,54,2021-07-10
">90",0,0,4,2,6,2021-07-10
