"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,2,11,1,16,2021-01-24
"20 - 24",2,1,24,0,27,2021-01-24
"25 - 29",2,4,42,2,50,2021-01-24
"30 - 34",7,1,78,3,89,2021-01-24
"35 - 39",7,5,78,10,100,2021-01-24
"40 - 44",6,7,123,14,150,2021-01-24
"45 - 49",18,25,286,36,365,2021-01-24
"50 - 54",30,47,457,78,612,2021-01-24
"55 - 59",50,92,635,132,909,2021-01-24
"60 - 64",64,125,736,254,1179,2021-01-24
"65 - 69",61,142,691,397,1291,2021-01-24
"70 - 74",70,145,678,584,1477,2021-01-24
"75 - 79",38,57,359,449,903,2021-01-24
"80 - 84",6,10,91,164,271,2021-01-24
"85 - 89",2,1,13,30,46,2021-01-24
">90",0,0,2,2,4,2021-01-24
