"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,15,2,17,2021-03-05
"20 - 24",3,0,30,0,33,2021-03-05
"25 - 29",4,3,54,3,64,2021-03-05
"30 - 34",5,5,90,3,103,2021-03-05
"35 - 39",5,9,98,11,123,2021-03-05
"40 - 44",6,10,155,17,188,2021-03-05
"45 - 49",19,26,345,43,433,2021-03-05
"50 - 54",31,41,570,93,735,2021-03-05
"55 - 59",53,81,796,162,1092,2021-03-05
"60 - 64",65,108,935,299,1407,2021-03-05
"65 - 69",67,106,866,471,1510,2021-03-05
"70 - 74",58,111,832,696,1697,2021-03-05
"75 - 79",34,46,445,505,1030,2021-03-05
"80 - 84",8,9,106,188,311,2021-03-05
"85 - 89",1,0,15,31,47,2021-03-05
">90",0,0,3,2,5,2021-03-05
