"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,3,1,1,8,2020-04-29
"20 - 24",4,2,3,0,9,2020-04-29
"25 - 29",6,1,6,2,15,2020-04-29
"30 - 34",6,8,14,1,29,2020-04-29
"35 - 39",10,8,15,3,36,2020-04-29
"40 - 44",16,12,22,3,53,2020-04-29
"45 - 49",46,32,51,16,145,2020-04-29
"50 - 54",67,73,71,17,228,2020-04-29
"55 - 59",97,110,82,60,349,2020-04-29
"60 - 64",119,142,83,78,422,2020-04-29
"65 - 69",95,134,106,145,480,2020-04-29
"70 - 74",102,156,91,182,531,2020-04-29
"75 - 79",56,62,46,146,310,2020-04-29
"80 - 84",9,9,6,38,62,2020-04-29
"85 - 89",2,0,1,7,10,2020-04-29
">90",1,1,0,0,2,2020-04-29
