"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,10,1,12,2020-11-18
"20 - 24",4,0,18,0,22,2020-11-18
"25 - 29",2,0,28,2,32,2020-11-18
"30 - 34",2,5,55,2,64,2020-11-18
"35 - 39",5,2,54,9,70,2020-11-18
"40 - 44",7,7,87,10,111,2020-11-18
"45 - 49",11,12,214,24,261,2020-11-18
"50 - 54",31,42,313,42,428,2020-11-18
"55 - 59",45,80,409,89,623,2020-11-18
"60 - 64",66,96,473,157,792,2020-11-18
"65 - 69",45,106,448,261,860,2020-11-18
"70 - 74",56,131,430,352,969,2020-11-18
"75 - 79",30,73,224,284,611,2020-11-18
"80 - 84",14,18,49,108,189,2020-11-18
"85 - 89",2,1,6,18,27,2020-11-18
">90",0,0,1,2,3,2020-11-18
