"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,18,3,21,2021-05-03
"20 - 24",2,1,37,0,40,2021-05-03
"25 - 29",3,3,75,4,85,2021-05-03
"30 - 34",12,11,129,4,156,2021-05-03
"35 - 39",18,9,151,13,191,2021-05-03
"40 - 44",13,17,232,21,283,2021-05-03
"45 - 49",36,38,451,52,577,2021-05-03
"50 - 54",49,80,786,122,1037,2021-05-03
"55 - 59",90,103,1066,209,1468,2021-05-03
"60 - 64",79,130,1224,405,1838,2021-05-03
"65 - 69",90,176,1189,609,2064,2021-05-03
"70 - 74",106,177,1049,865,2197,2021-05-03
"75 - 79",38,68,566,619,1291,2021-05-03
"80 - 84",7,4,129,218,358,2021-05-03
"85 - 89",1,0,16,35,52,2021-05-03
">90",0,0,4,2,6,2021-05-03
