"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,9,1,10,2020-06-06
"20 - 24",2,2,7,0,11,2020-06-06
"25 - 29",3,1,10,2,16,2020-06-06
"30 - 34",9,0,22,3,34,2020-06-06
"35 - 39",9,1,25,6,41,2020-06-06
"40 - 44",7,3,43,3,56,2020-06-06
"45 - 49",23,6,113,20,162,2020-06-06
"50 - 54",46,12,171,23,252,2020-06-06
"55 - 59",52,15,228,75,370,2020-06-06
"60 - 64",75,22,258,98,453,2020-06-06
"65 - 69",53,26,249,174,502,2020-06-06
"70 - 74",60,34,239,219,552,2020-06-06
"75 - 79",34,16,107,161,318,2020-06-06
"80 - 84",3,3,16,42,64,2020-06-06
"85 - 89",2,1,3,8,14,2020-06-06
">90",0,0,1,0,1,2020-06-06
