"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,19,3,23,2021-06-26
"20 - 24",3,1,45,0,49,2021-06-26
"25 - 29",1,0,93,6,100,2021-06-26
"30 - 34",2,2,162,6,172,2021-06-26
"35 - 39",6,2,188,14,210,2021-06-26
"40 - 44",7,6,293,25,331,2021-06-26
"45 - 49",13,10,565,63,651,2021-06-26
"50 - 54",29,17,971,138,1155,2021-06-26
"55 - 59",26,30,1342,245,1643,2021-06-26
"60 - 64",20,26,1458,448,1952,2021-06-26
"65 - 69",32,31,1447,711,2221,2021-06-26
"70 - 74",30,22,1293,985,2330,2021-06-26
"75 - 79",7,8,646,682,1343,2021-06-26
"80 - 84",1,1,138,228,368,2021-06-26
"85 - 89",0,0,17,37,54,2021-06-26
">90",0,0,4,2,6,2021-06-26
