"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,5,9,1,15,2020-11-03
"20 - 24",4,1,15,0,20,2020-11-03
"25 - 29",3,1,23,2,29,2020-11-03
"30 - 34",6,2,47,2,57,2020-11-03
"35 - 39",3,4,51,8,66,2020-11-03
"40 - 44",8,9,77,8,102,2020-11-03
"45 - 49",21,18,184,22,245,2020-11-03
"50 - 54",27,43,280,32,382,2020-11-03
"55 - 59",30,71,366,85,552,2020-11-03
"60 - 64",43,117,412,132,704,2020-11-03
"65 - 69",51,106,398,222,777,2020-11-03
"70 - 74",39,149,373,301,862,2020-11-03
"75 - 79",27,72,198,240,537,2020-11-03
"80 - 84",15,32,35,79,161,2020-11-03
"85 - 89",1,0,5,18,24,2020-11-03
">90",1,0,0,1,2,2020-11-03
