"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,17,2,19,2021-04-10
"20 - 24",2,0,34,0,36,2021-04-10
"25 - 29",1,4,66,4,75,2021-04-10
"30 - 34",8,8,112,3,131,2021-04-10
"35 - 39",12,17,128,12,169,2021-04-10
"40 - 44",14,20,197,17,248,2021-04-10
"45 - 49",19,29,409,48,505,2021-04-10
"50 - 54",45,77,678,107,907,2021-04-10
"55 - 59",61,103,959,190,1313,2021-04-10
"60 - 64",62,121,1104,355,1642,2021-04-10
"65 - 69",90,166,1035,528,1819,2021-04-10
"70 - 74",72,143,949,787,1951,2021-04-10
"75 - 79",31,80,519,568,1198,2021-04-10
"80 - 84",10,8,119,208,345,2021-04-10
"85 - 89",2,1,15,33,51,2021-04-10
">90",1,0,3,2,6,2021-04-10
