"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,20,3,24,2021-07-08
"20 - 24",2,0,46,0,48,2021-07-08
"25 - 29",0,1,94,6,101,2021-07-08
"30 - 34",1,3,166,6,176,2021-07-08
"35 - 39",0,1,196,14,211,2021-07-08
"40 - 44",2,4,299,26,331,2021-07-08
"45 - 49",7,5,576,65,653,2021-07-08
"50 - 54",11,12,992,141,1156,2021-07-08
"55 - 59",13,17,1367,248,1645,2021-07-08
"60 - 64",10,15,1476,451,1952,2021-07-08
"65 - 69",12,16,1478,717,2223,2021-07-08
"70 - 74",17,14,1311,991,2333,2021-07-08
"75 - 79",7,4,651,684,1346,2021-07-08
"80 - 84",0,1,139,228,368,2021-07-08
"85 - 89",0,0,17,37,54,2021-07-08
">90",0,0,4,2,6,2021-07-08
