"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,17,2,19,2021-04-12
"20 - 24",3,0,34,0,37,2021-04-12
"25 - 29",2,6,66,4,78,2021-04-12
"30 - 34",8,9,114,3,134,2021-04-12
"35 - 39",15,15,129,12,171,2021-04-12
"40 - 44",17,22,197,18,254,2021-04-12
"45 - 49",21,30,412,48,511,2021-04-12
"50 - 54",53,82,680,108,923,2021-04-12
"55 - 59",64,111,962,192,1329,2021-04-12
"60 - 64",77,120,1106,363,1666,2021-04-12
"65 - 69",95,162,1043,532,1832,2021-04-12
"70 - 74",80,148,951,794,1973,2021-04-12
"75 - 79",36,77,520,573,1206,2021-04-12
"80 - 84",9,7,120,208,344,2021-04-12
"85 - 89",3,0,15,33,51,2021-04-12
">90",1,0,3,2,6,2021-04-12
