"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,18,3,21,2021-06-10
"20 - 24",3,0,43,0,46,2021-06-10
"25 - 29",3,1,89,6,99,2021-06-10
"30 - 34",3,3,159,5,170,2021-06-10
"35 - 39",10,6,180,14,210,2021-06-10
"40 - 44",13,8,282,25,328,2021-06-10
"45 - 49",23,17,543,62,645,2021-06-10
"50 - 54",41,33,935,134,1143,2021-06-10
"55 - 59",42,64,1295,232,1633,2021-06-10
"60 - 64",33,38,1427,446,1944,2021-06-10
"65 - 69",53,66,1395,704,2218,2021-06-10
"70 - 74",51,53,1257,972,2333,2021-06-10
"75 - 79",13,16,636,676,1341,2021-06-10
"80 - 84",2,0,137,228,367,2021-06-10
"85 - 89",0,0,17,36,53,2021-06-10
">90",0,0,4,2,6,2021-06-10
