"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,7,1,8,2020-09-13
"20 - 24",1,1,10,0,12,2020-09-13
"25 - 29",0,0,18,2,20,2020-09-13
"30 - 34",0,0,35,2,37,2020-09-13
"35 - 39",3,1,37,6,47,2020-09-13
"40 - 44",1,5,55,5,66,2020-09-13
"45 - 49",1,3,149,18,171,2020-09-13
"50 - 54",11,6,230,23,270,2020-09-13
"55 - 59",5,4,305,75,389,2020-09-13
"60 - 64",8,3,351,108,470,2020-09-13
"65 - 69",10,7,322,191,530,2020-09-13
"70 - 74",6,10,326,234,576,2020-09-13
"75 - 79",2,10,154,168,334,2020-09-13
"80 - 84",4,0,22,50,76,2020-09-13
"85 - 89",0,1,4,11,16,2020-09-13
">90",0,0,0,0,0,2020-09-13
