"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,2,9,1,13,2020-12-14
"20 - 24",2,0,20,0,22,2020-12-14
"25 - 29",5,3,29,2,39,2020-12-14
"30 - 34",4,5,64,3,76,2020-12-14
"35 - 39",6,4,60,9,79,2020-12-14
"40 - 44",7,5,100,11,123,2020-12-14
"45 - 49",18,6,231,31,286,2020-12-14
"50 - 54",28,39,363,49,479,2020-12-14
"55 - 59",51,69,475,109,704,2020-12-14
"60 - 64",56,80,557,194,887,2020-12-14
"65 - 69",60,101,512,314,987,2020-12-14
"70 - 74",60,127,518,426,1131,2020-12-14
"75 - 79",31,58,266,348,703,2020-12-14
"80 - 84",21,13,61,133,228,2020-12-14
"85 - 89",2,3,6,23,34,2020-12-14
">90",1,0,1,2,4,2020-12-14
