"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,10,1,11,2020-07-25
"20 - 24",3,1,7,0,11,2020-07-25
"25 - 29",1,0,15,2,18,2020-07-25
"30 - 34",1,0,32,3,36,2020-07-25
"35 - 39",1,2,34,6,43,2020-07-25
"40 - 44",1,2,53,5,61,2020-07-25
"45 - 49",6,0,136,19,161,2020-07-25
"50 - 54",12,2,215,23,252,2020-07-25
"55 - 59",15,4,283,76,378,2020-07-25
"60 - 64",20,4,326,100,450,2020-07-25
"65 - 69",12,2,311,184,509,2020-07-25
"70 - 74",16,8,302,228,554,2020-07-25
"75 - 79",10,6,142,164,322,2020-07-25
"80 - 84",2,0,19,45,66,2020-07-25
"85 - 89",1,0,4,10,15,2020-07-25
">90",0,0,0,0,0,2020-07-25
