"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,2,9,1,13,2020-11-06
"20 - 24",3,1,16,0,20,2020-11-06
"25 - 29",2,1,26,2,31,2020-11-06
"30 - 34",3,2,50,2,57,2020-11-06
"35 - 39",6,4,50,8,68,2020-11-06
"40 - 44",9,9,78,9,105,2020-11-06
"45 - 49",17,15,194,22,248,2020-11-06
"50 - 54",23,51,286,34,394,2020-11-06
"55 - 59",36,67,375,86,564,2020-11-06
"60 - 64",42,119,430,137,728,2020-11-06
"65 - 69",50,106,409,228,793,2020-11-06
"70 - 74",44,144,383,311,882,2020-11-06
"75 - 79",29,79,201,247,556,2020-11-06
"80 - 84",15,33,37,84,169,2020-11-06
"85 - 89",1,0,5,18,24,2020-11-06
">90",0,1,1,1,3,2020-11-06
