"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,8,1,10,2020-10-19
"20 - 24",2,1,11,0,14,2020-10-19
"25 - 29",1,2,22,2,27,2020-10-19
"30 - 34",6,1,40,2,49,2020-10-19
"35 - 39",5,6,43,7,61,2020-10-19
"40 - 44",4,9,69,8,90,2020-10-19
"45 - 49",11,14,168,19,212,2020-10-19
"50 - 54",16,29,254,29,328,2020-10-19
"55 - 59",20,35,334,81,470,2020-10-19
"60 - 64",18,61,378,117,574,2020-10-19
"65 - 69",34,73,351,203,661,2020-10-19
"70 - 74",15,87,352,262,716,2020-10-19
"75 - 79",12,65,178,195,450,2020-10-19
"80 - 84",10,22,30,60,122,2020-10-19
"85 - 89",0,0,5,18,23,2020-10-19
">90",0,0,0,0,0,2020-10-19
