"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,2,10,1,15,2021-01-16
"20 - 24",1,1,24,0,26,2021-01-16
"25 - 29",1,3,42,2,48,2021-01-16
"30 - 34",6,2,75,3,86,2021-01-16
"35 - 39",6,6,77,9,98,2021-01-16
"40 - 44",6,8,117,13,144,2021-01-16
"45 - 49",19,28,271,35,353,2021-01-16
"50 - 54",32,49,438,73,592,2021-01-16
"55 - 59",49,86,611,128,874,2021-01-16
"60 - 64",70,114,693,243,1120,2021-01-16
"65 - 69",62,145,656,379,1242,2021-01-16
"70 - 74",70,162,649,553,1434,2021-01-16
"75 - 79",45,66,337,428,876,2021-01-16
"80 - 84",6,10,86,160,262,2021-01-16
"85 - 89",1,1,11,29,42,2021-01-16
">90",0,0,2,2,4,2021-01-16
