"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,2,12,1,16,2021-02-03
"20 - 24",2,1,25,0,28,2021-02-03
"25 - 29",3,6,44,3,56,2021-02-03
"30 - 34",6,3,82,3,94,2021-02-03
"35 - 39",8,5,82,10,105,2021-02-03
"40 - 44",4,13,126,14,157,2021-02-03
"45 - 49",17,26,303,37,383,2021-02-03
"50 - 54",31,44,481,81,637,2021-02-03
"55 - 59",56,83,674,143,956,2021-02-03
"60 - 64",69,117,791,266,1243,2021-02-03
"65 - 69",70,127,734,428,1359,2021-02-03
"70 - 74",83,125,705,628,1541,2021-02-03
"75 - 79",39,51,387,462,939,2021-02-03
"80 - 84",8,12,94,172,286,2021-02-03
"85 - 89",2,0,13,31,46,2021-02-03
">90",1,0,2,2,5,2021-02-03
