"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,1,6,1,10,2020-05-15
"20 - 24",3,1,6,0,10,2020-05-15
"25 - 29",5,4,7,2,18,2020-05-15
"30 - 34",10,3,17,1,31,2020-05-15
"35 - 39",11,2,22,4,39,2020-05-15
"40 - 44",16,6,31,3,56,2020-05-15
"45 - 49",32,20,83,20,155,2020-05-15
"50 - 54",55,29,130,20,234,2020-05-15
"55 - 59",79,45,167,71,362,2020-05-15
"60 - 64",116,65,177,90,448,2020-05-15
"65 - 69",96,69,173,161,499,2020-05-15
"70 - 74",92,74,172,208,546,2020-05-15
"75 - 79",43,28,83,155,309,2020-05-15
"80 - 84",10,4,9,39,62,2020-05-15
"85 - 89",1,0,3,7,11,2020-05-15
">90",1,0,1,0,2,2020-05-15
