"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",5,1,1,1,8,2020-05-06
"20 - 24",4,2,3,0,9,2020-05-06
"25 - 29",4,2,7,2,15,2020-05-06
"30 - 34",8,7,15,1,31,2020-05-06
"35 - 39",14,4,16,3,37,2020-05-06
"40 - 44",20,8,25,3,56,2020-05-06
"45 - 49",32,27,71,17,147,2020-05-06
"50 - 54",73,51,90,18,232,2020-05-06
"55 - 59",95,74,118,64,351,2020-05-06
"60 - 64",129,115,117,81,442,2020-05-06
"65 - 69",97,111,130,152,490,2020-05-06
"70 - 74",96,124,119,198,537,2020-05-06
"75 - 79",60,45,54,149,308,2020-05-06
"80 - 84",11,5,6,38,60,2020-05-06
"85 - 89",2,1,1,7,11,2020-05-06
">90",1,0,1,0,2,2020-05-06
