"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,5,1,9,2020-05-20
"20 - 24",3,1,6,0,10,2020-05-20
"25 - 29",5,3,7,2,17,2020-05-20
"30 - 34",10,3,18,1,32,2020-05-20
"35 - 39",12,1,22,5,40,2020-05-20
"40 - 44",13,6,35,3,57,2020-05-20
"45 - 49",32,14,91,20,157,2020-05-20
"50 - 54",50,24,143,22,239,2020-05-20
"55 - 59",69,41,184,74,368,2020-05-20
"60 - 64",113,50,191,94,448,2020-05-20
"65 - 69",92,54,189,166,501,2020-05-20
"70 - 74",84,65,191,210,550,2020-05-20
"75 - 79",43,25,89,158,315,2020-05-20
"80 - 84",10,3,10,40,63,2020-05-20
"85 - 89",1,0,3,7,11,2020-05-20
">90",0,0,1,0,1,2020-05-20
