"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,6,1,9,2020-05-17
"20 - 24",3,1,6,0,10,2020-05-17
"25 - 29",4,3,7,2,16,2020-05-17
"30 - 34",9,3,18,1,31,2020-05-17
"35 - 39",12,2,21,4,39,2020-05-17
"40 - 44",13,6,34,3,56,2020-05-17
"45 - 49",32,18,85,20,155,2020-05-17
"50 - 54",54,28,133,20,235,2020-05-17
"55 - 59",77,41,172,73,363,2020-05-17
"60 - 64",118,60,180,90,448,2020-05-17
"65 - 69",93,61,178,164,496,2020-05-17
"70 - 74",91,73,175,208,547,2020-05-17
"75 - 79",42,30,85,156,313,2020-05-17
"80 - 84",11,3,10,39,63,2020-05-17
"85 - 89",1,0,3,7,11,2020-05-17
">90",1,0,1,0,2,2020-05-17
