"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,9,1,10,2020-06-01
"20 - 24",2,1,7,0,10,2020-06-01
"25 - 29",4,1,9,2,16,2020-06-01
"30 - 34",8,2,21,1,32,2020-06-01
"35 - 39",9,2,25,6,42,2020-06-01
"40 - 44",8,1,44,3,56,2020-06-01
"45 - 49",26,5,107,20,158,2020-06-01
"50 - 54",46,14,166,22,248,2020-06-01
"55 - 59",54,22,218,75,369,2020-06-01
"60 - 64",83,24,248,98,453,2020-06-01
"65 - 69",58,34,235,173,500,2020-06-01
"70 - 74",64,39,230,217,550,2020-06-01
"75 - 79",30,19,105,161,315,2020-06-01
"80 - 84",3,3,18,40,64,2020-06-01
"85 - 89",2,0,3,8,13,2020-06-01
">90",0,0,1,0,1,2020-06-01
