"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,15,2,17,2021-02-23
"20 - 24",2,1,29,0,32,2021-02-23
"25 - 29",0,4,52,3,59,2021-02-23
"30 - 34",3,2,88,3,96,2021-02-23
"35 - 39",2,10,92,11,115,2021-02-23
"40 - 44",9,5,142,16,172,2021-02-23
"45 - 49",24,20,327,41,412,2021-02-23
"50 - 54",22,45,544,88,699,2021-02-23
"55 - 59",55,74,750,156,1035,2021-02-23
"60 - 64",56,107,888,292,1343,2021-02-23
"65 - 69",61,105,834,459,1459,2021-02-23
"70 - 74",55,105,802,678,1640,2021-02-23
"75 - 79",29,53,426,490,998,2021-02-23
"80 - 84",7,9,101,182,299,2021-02-23
"85 - 89",1,0,15,31,47,2021-02-23
">90",0,0,3,2,5,2021-02-23
