"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,7,1,9,2020-09-15
"20 - 24",1,1,10,0,12,2020-09-15
"25 - 29",0,2,18,2,22,2020-09-15
"30 - 34",0,0,35,2,37,2020-09-15
"35 - 39",2,1,38,6,47,2020-09-15
"40 - 44",1,6,56,5,68,2020-09-15
"45 - 49",2,5,149,18,174,2020-09-15
"50 - 54",10,8,232,23,273,2020-09-15
"55 - 59",7,4,305,75,391,2020-09-15
"60 - 64",6,6,353,108,473,2020-09-15
"65 - 69",11,11,322,191,535,2020-09-15
"70 - 74",6,17,326,234,583,2020-09-15
"75 - 79",4,13,154,168,339,2020-09-15
"80 - 84",3,0,23,50,76,2020-09-15
"85 - 89",0,2,4,11,17,2020-09-15
">90",0,0,0,0,0,2020-09-15
