"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,10,1,11,2020-07-28
"20 - 24",3,1,7,0,11,2020-07-28
"25 - 29",1,0,15,2,18,2020-07-28
"30 - 34",1,1,32,3,37,2020-07-28
"35 - 39",1,2,34,6,43,2020-07-28
"40 - 44",2,2,53,5,62,2020-07-28
"45 - 49",6,0,136,19,161,2020-07-28
"50 - 54",12,4,215,23,254,2020-07-28
"55 - 59",15,2,284,76,377,2020-07-28
"60 - 64",20,4,327,100,451,2020-07-28
"65 - 69",12,3,311,184,510,2020-07-28
"70 - 74",17,6,302,228,553,2020-07-28
"75 - 79",11,5,142,164,322,2020-07-28
"80 - 84",2,4,19,45,70,2020-07-28
"85 - 89",1,0,4,10,15,2020-07-28
">90",0,0,0,0,0,2020-07-28
