"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,1,9,1,14,2021-01-14
"20 - 24",2,1,23,0,26,2021-01-14
"25 - 29",2,3,41,2,48,2021-01-14
"30 - 34",4,3,74,3,84,2021-01-14
"35 - 39",6,5,77,9,97,2021-01-14
"40 - 44",6,7,117,13,143,2021-01-14
"45 - 49",20,29,267,34,350,2021-01-14
"50 - 54",31,52,433,72,588,2021-01-14
"55 - 59",52,86,599,128,865,2021-01-14
"60 - 64",60,117,685,242,1104,2021-01-14
"65 - 69",71,152,639,374,1236,2021-01-14
"70 - 74",69,164,641,544,1418,2021-01-14
"75 - 79",46,70,333,424,873,2021-01-14
"80 - 84",10,10,84,160,264,2021-01-14
"85 - 89",1,1,11,29,42,2021-01-14
">90",0,0,2,2,4,2021-01-14
