"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,6,1,10,2020-05-21
"20 - 24",2,1,7,0,10,2020-05-21
"25 - 29",5,2,8,2,17,2020-05-21
"30 - 34",7,3,21,1,32,2020-05-21
"35 - 39",11,2,23,5,41,2020-05-21
"40 - 44",8,6,39,3,56,2020-05-21
"45 - 49",28,13,96,20,157,2020-05-21
"50 - 54",45,23,149,22,239,2020-05-21
"55 - 59",58,40,194,74,366,2020-05-21
"60 - 64",96,49,206,94,445,2020-05-21
"65 - 69",85,49,197,168,499,2020-05-21
"70 - 74",81,64,197,210,552,2020-05-21
"75 - 79",40,22,92,158,312,2020-05-21
"80 - 84",9,3,10,41,63,2020-05-21
"85 - 89",1,0,3,7,11,2020-05-21
">90",0,0,1,0,1,2020-05-21
