"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,8,1,10,2020-10-18
"20 - 24",2,1,11,0,14,2020-10-18
"25 - 29",1,2,22,2,27,2020-10-18
"30 - 34",5,1,40,2,48,2020-10-18
"35 - 39",4,4,43,7,58,2020-10-18
"40 - 44",5,7,68,7,87,2020-10-18
"45 - 49",10,13,168,19,210,2020-10-18
"50 - 54",11,30,254,29,324,2020-10-18
"55 - 59",19,35,332,80,466,2020-10-18
"60 - 64",19,58,375,117,569,2020-10-18
"65 - 69",29,68,349,202,648,2020-10-18
"70 - 74",14,88,352,257,711,2020-10-18
"75 - 79",10,59,178,194,441,2020-10-18
"80 - 84",9,19,30,60,118,2020-10-18
"85 - 89",0,0,5,18,23,2020-10-18
">90",0,0,0,0,0,2020-10-18
