"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,6,1,9,2020-05-18
"20 - 24",3,1,6,0,10,2020-05-18
"25 - 29",4,3,7,2,16,2020-05-18
"30 - 34",9,4,18,1,32,2020-05-18
"35 - 39",12,2,22,4,40,2020-05-18
"40 - 44",13,6,34,3,56,2020-05-18
"45 - 49",31,17,87,20,155,2020-05-18
"50 - 54",51,27,137,21,236,2020-05-18
"55 - 59",72,40,177,73,362,2020-05-18
"60 - 64",113,60,186,91,450,2020-05-18
"65 - 69",90,66,182,164,502,2020-05-18
"70 - 74",89,73,181,208,551,2020-05-18
"75 - 79",40,28,87,158,313,2020-05-18
"80 - 84",11,3,10,39,63,2020-05-18
"85 - 89",1,0,3,7,11,2020-05-18
">90",1,0,1,0,2,2020-05-18
