"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,7,1,8,2020-09-06
"20 - 24",1,1,10,0,12,2020-09-06
"25 - 29",0,0,18,2,20,2020-09-06
"30 - 34",1,0,34,2,37,2020-09-06
"35 - 39",3,3,35,6,47,2020-09-06
"40 - 44",1,3,55,5,64,2020-09-06
"45 - 49",4,1,146,18,169,2020-09-06
"50 - 54",8,7,228,23,266,2020-09-06
"55 - 59",4,3,305,74,386,2020-09-06
"60 - 64",10,6,347,106,469,2020-09-06
"65 - 69",7,8,322,191,528,2020-09-06
"70 - 74",10,4,323,233,570,2020-09-06
"75 - 79",6,5,151,166,328,2020-09-06
"80 - 84",5,1,21,49,76,2020-09-06
"85 - 89",0,1,4,11,16,2020-09-06
">90",0,0,0,0,0,2020-09-06
