"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,10,1,11,2020-07-27
"20 - 24",3,1,7,0,11,2020-07-27
"25 - 29",1,0,15,2,18,2020-07-27
"30 - 34",1,1,32,3,37,2020-07-27
"35 - 39",1,2,34,6,43,2020-07-27
"40 - 44",2,1,53,5,61,2020-07-27
"45 - 49",6,0,136,19,161,2020-07-27
"50 - 54",12,2,215,23,252,2020-07-27
"55 - 59",17,2,283,76,378,2020-07-27
"60 - 64",21,4,326,100,451,2020-07-27
"65 - 69",12,2,311,184,509,2020-07-27
"70 - 74",16,5,303,228,552,2020-07-27
"75 - 79",11,7,142,164,324,2020-07-27
"80 - 84",2,2,19,45,68,2020-07-27
"85 - 89",1,0,4,10,15,2020-07-27
">90",0,0,0,0,0,2020-07-27
