"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,7,1,8,2020-09-02
"20 - 24",1,1,10,0,12,2020-09-02
"25 - 29",0,0,18,2,20,2020-09-02
"30 - 34",2,1,33,2,38,2020-09-02
"35 - 39",4,2,35,6,47,2020-09-02
"40 - 44",1,2,55,5,63,2020-09-02
"45 - 49",4,2,145,18,169,2020-09-02
"50 - 54",10,6,227,23,266,2020-09-02
"55 - 59",4,3,304,74,385,2020-09-02
"60 - 64",13,6,344,106,469,2020-09-02
"65 - 69",7,9,322,190,528,2020-09-02
"70 - 74",9,5,323,232,569,2020-09-02
"75 - 79",6,4,151,166,327,2020-09-02
"80 - 84",4,1,21,49,75,2020-09-02
"85 - 89",0,1,4,11,16,2020-09-02
">90",0,0,0,0,0,2020-09-02
