"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,10,1,13,2020-12-09
"20 - 24",2,0,20,0,22,2020-12-09
"25 - 29",4,2,28,2,36,2020-12-09
"30 - 34",3,5,63,3,74,2020-12-09
"35 - 39",5,5,59,9,78,2020-12-09
"40 - 44",7,4,97,11,119,2020-12-09
"45 - 49",11,12,230,31,284,2020-12-09
"50 - 54",21,35,359,48,463,2020-12-09
"55 - 59",52,69,464,106,691,2020-12-09
"60 - 64",58,77,546,189,870,2020-12-09
"65 - 69",58,91,503,304,956,2020-12-09
"70 - 74",60,104,503,418,1085,2020-12-09
"75 - 79",33,59,259,336,687,2020-12-09
"80 - 84",19,11,57,129,216,2020-12-09
"85 - 89",2,1,6,22,31,2020-12-09
">90",0,0,1,3,4,2020-12-09
