"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,7,1,8,2020-08-27
"20 - 24",2,1,9,0,12,2020-08-27
"25 - 29",0,0,18,2,20,2020-08-27
"30 - 34",2,0,33,2,37,2020-08-27
"35 - 39",4,1,35,6,46,2020-08-27
"40 - 44",1,2,55,5,63,2020-08-27
"45 - 49",6,2,140,18,166,2020-08-27
"50 - 54",8,9,224,22,263,2020-08-27
"55 - 59",8,5,298,74,385,2020-08-27
"60 - 64",17,10,337,104,468,2020-08-27
"65 - 69",11,9,317,190,527,2020-08-27
"70 - 74",13,7,318,232,570,2020-08-27
"75 - 79",11,2,146,166,325,2020-08-27
"80 - 84",3,2,21,49,75,2020-08-27
"85 - 89",1,0,4,10,15,2020-08-27
">90",0,0,0,0,0,2020-08-27
