"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,16,2,20,2021-03-29
"20 - 24",3,1,32,0,36,2021-03-29
"25 - 29",2,2,63,3,70,2021-03-29
"30 - 34",9,3,104,3,119,2021-03-29
"35 - 39",8,13,115,12,148,2021-03-29
"40 - 44",17,16,175,17,225,2021-03-29
"45 - 49",24,26,383,44,477,2021-03-29
"50 - 54",35,58,643,103,839,2021-03-29
"55 - 59",64,89,896,175,1224,2021-03-29
"60 - 64",79,110,1038,337,1564,2021-03-29
"65 - 69",61,150,976,508,1695,2021-03-29
"70 - 74",61,120,907,750,1838,2021-03-29
"75 - 79",36,77,494,544,1151,2021-03-29
"80 - 84",9,7,116,198,330,2021-03-29
"85 - 89",2,0,15,33,50,2021-03-29
">90",1,0,3,2,6,2021-03-29
