"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,19,3,23,2021-05-14
"20 - 24",2,1,38,0,41,2021-05-14
"25 - 29",3,2,80,5,90,2021-05-14
"30 - 34",9,8,143,4,164,2021-05-14
"35 - 39",19,6,160,13,198,2021-05-14
"40 - 44",19,20,248,22,309,2021-05-14
"45 - 49",37,38,483,53,611,2021-05-14
"50 - 54",50,61,833,127,1071,2021-05-14
"55 - 59",78,104,1147,219,1548,2021-05-14
"60 - 64",83,97,1282,422,1884,2021-05-14
"65 - 69",85,162,1266,645,2158,2021-05-14
"70 - 74",87,169,1127,907,2290,2021-05-14
"75 - 79",36,50,590,646,1322,2021-05-14
"80 - 84",6,3,131,221,361,2021-05-14
"85 - 89",2,0,16,35,53,2021-05-14
">90",0,0,4,2,6,2021-05-14
