"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,9,1,11,2020-06-16
"20 - 24",2,2,7,0,11,2020-06-16
"25 - 29",4,0,11,2,17,2020-06-16
"30 - 34",8,0,24,3,35,2020-06-16
"35 - 39",4,1,30,6,41,2020-06-16
"40 - 44",4,6,46,3,59,2020-06-16
"45 - 49",18,1,122,20,161,2020-06-16
"50 - 54",40,12,182,23,257,2020-06-16
"55 - 59",47,14,239,75,375,2020-06-16
"60 - 64",66,9,275,100,450,2020-06-16
"65 - 69",39,21,269,179,508,2020-06-16
"70 - 74",57,20,255,222,554,2020-06-16
"75 - 79",33,14,113,161,321,2020-06-16
"80 - 84",4,1,16,42,63,2020-06-16
"85 - 89",1,0,4,9,14,2020-06-16
">90",0,0,0,0,0,2020-06-16
