"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,18,3,21,2021-06-08
"20 - 24",3,0,43,0,46,2021-06-08
"25 - 29",3,2,88,6,99,2021-06-08
"30 - 34",3,3,159,5,170,2021-06-08
"35 - 39",10,6,179,14,209,2021-06-08
"40 - 44",14,6,280,25,325,2021-06-08
"45 - 49",24,20,539,61,644,2021-06-08
"50 - 54",40,41,926,134,1141,2021-06-08
"55 - 59",48,61,1286,231,1626,2021-06-08
"60 - 64",38,41,1418,445,1942,2021-06-08
"65 - 69",60,75,1384,699,2218,2021-06-08
"70 - 74",59,55,1247,970,2331,2021-06-08
"75 - 79",15,16,633,676,1340,2021-06-08
"80 - 84",3,0,136,228,367,2021-06-08
"85 - 89",0,0,17,36,53,2021-06-08
">90",0,0,4,2,6,2021-06-08
