"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,7,1,8,2020-08-23
"20 - 24",2,1,9,0,12,2020-08-23
"25 - 29",0,0,18,2,20,2020-08-23
"30 - 34",1,1,33,3,38,2020-08-23
"35 - 39",4,1,36,6,47,2020-08-23
"40 - 44",1,2,55,5,63,2020-08-23
"45 - 49",5,3,141,18,167,2020-08-23
"50 - 54",7,7,223,22,259,2020-08-23
"55 - 59",7,6,297,74,384,2020-08-23
"60 - 64",15,10,336,103,464,2020-08-23
"65 - 69",12,12,316,189,529,2020-08-23
"70 - 74",14,5,316,232,567,2020-08-23
"75 - 79",11,3,146,165,325,2020-08-23
"80 - 84",4,2,20,49,75,2020-08-23
"85 - 89",1,0,4,10,15,2020-08-23
">90",0,0,0,0,0,2020-08-23
