"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,14,2,18,2021-02-21
"20 - 24",2,1,29,0,32,2021-02-21
"25 - 29",1,3,51,3,58,2021-02-21
"30 - 34",2,2,89,3,96,2021-02-21
"35 - 39",1,5,92,11,109,2021-02-21
"40 - 44",7,6,141,16,170,2021-02-21
"45 - 49",24,22,325,41,412,2021-02-21
"50 - 54",32,39,531,88,690,2021-02-21
"55 - 59",58,75,738,154,1025,2021-02-21
"60 - 64",59,106,874,291,1330,2021-02-21
"65 - 69",65,101,824,453,1443,2021-02-21
"70 - 74",61,103,784,674,1622,2021-02-21
"75 - 79",29,52,419,485,985,2021-02-21
"80 - 84",9,10,100,180,299,2021-02-21
"85 - 89",1,0,15,31,47,2021-02-21
">90",0,0,3,2,5,2021-02-21
