"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,0,16,2,19,2021-03-20
"20 - 24",2,0,32,0,34,2021-03-20
"25 - 29",0,1,61,3,65,2021-03-20
"30 - 34",4,8,99,3,114,2021-03-20
"35 - 39",4,11,112,11,138,2021-03-20
"40 - 44",4,14,171,17,206,2021-03-20
"45 - 49",18,23,366,44,451,2021-03-20
"50 - 54",32,46,616,96,790,2021-03-20
"55 - 59",55,81,864,171,1171,2021-03-20
"60 - 64",82,106,996,326,1510,2021-03-20
"65 - 69",72,108,935,493,1608,2021-03-20
"70 - 74",55,114,880,729,1778,2021-03-20
"75 - 79",33,61,478,529,1101,2021-03-20
"80 - 84",9,7,110,196,322,2021-03-20
"85 - 89",1,1,15,32,49,2021-03-20
">90",0,0,3,2,5,2021-03-20
