"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,7,1,8,2020-09-09
"20 - 24",1,1,10,0,12,2020-09-09
"25 - 29",0,0,18,2,20,2020-09-09
"30 - 34",1,0,34,2,37,2020-09-09
"35 - 39",3,2,36,6,47,2020-09-09
"40 - 44",1,4,55,5,65,2020-09-09
"45 - 49",4,2,146,18,170,2020-09-09
"50 - 54",11,6,229,23,269,2020-09-09
"55 - 59",5,3,305,74,387,2020-09-09
"60 - 64",11,5,348,106,470,2020-09-09
"65 - 69",9,6,322,191,528,2020-09-09
"70 - 74",7,8,323,234,572,2020-09-09
"75 - 79",6,6,151,167,330,2020-09-09
"80 - 84",5,0,21,50,76,2020-09-09
"85 - 89",0,1,4,11,16,2020-09-09
">90",0,0,0,0,0,2020-09-09
