"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,2,9,1,13,2020-12-15
"20 - 24",2,0,20,0,22,2020-12-15
"25 - 29",6,2,29,2,39,2020-12-15
"30 - 34",4,4,65,3,76,2020-12-15
"35 - 39",7,3,61,9,80,2020-12-15
"40 - 44",7,6,100,11,124,2020-12-15
"45 - 49",18,12,232,31,293,2020-12-15
"50 - 54",31,40,366,49,486,2020-12-15
"55 - 59",59,68,475,109,711,2020-12-15
"60 - 64",52,85,564,195,896,2020-12-15
"65 - 69",56,109,520,315,1000,2020-12-15
"70 - 74",61,127,521,428,1137,2020-12-15
"75 - 79",30,60,268,348,706,2020-12-15
"80 - 84",21,12,61,134,228,2020-12-15
"85 - 89",3,1,6,24,34,2020-12-15
">90",1,0,1,2,4,2020-12-15
